requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;8;13;['F1', 'F2'];5
2;16;14;['F4', 'F1', 'F2'];5
3;10;11;['F6', 'F2'];5
4;12;16;['F2', 'F3', 'F5', 'F4', 'F1'];5
5;11;1;['F6', 'F4', 'F1', 'F5'];5
6;1;3;['F1', 'F3', 'F2'];5
7;7;2;['F3', 'F2', 'F5'];5
8;5;9;['F5', 'F1'];5
9;4;11;['F3', 'F6', 'F1', 'F5', 'F4'];5
10;5;9;['F3', 'F4'];5
11;2;18;['F2', 'F4', 'F5', 'F1'];5
12;19;6;['F5', 'F1', 'F6', 'F4'];5
13;6;15;['F1', 'F5', 'F4'];5
14;5;8;['F5', 'F4', 'F2'];5
15;15;20;['F6'];5
16;14;16;['F6'];5
17;14;1;['F4', 'F1'];5
18;4;15;['F5', 'F4', 'F2'];5
19;8;17;['F4', 'F2', 'F5', 'F6'];5
20;14;8;['F4', 'F3'];5
21;7;4;['F1', 'F4', 'F5'];5
22;10;1;['F3', 'F2'];5
23;3;14;['F3', 'F4', 'F5'];5
24;18;5;['F2', 'F5', 'F6', 'F3'];5
25;18;13;['F6', 'F2', 'F5', 'F3'];5
26;10;7;['F5', 'F3', 'F6', 'F4'];5
27;1;11;['F2', 'F1', 'F6'];5
28;3;17;['F1', 'F6', 'F2', 'F4'];5
29;16;15;['F5', 'F6', 'F1', 'F2'];5
30;15;6;['F1'];5
31;14;15;['F5', 'F4', 'F2', 'F1'];5
32;13;5;['F5', 'F2', 'F3'];5
33;14;12;['F3', 'F5', 'F6'];5
34;18;1;['F2', 'F6', 'F3', 'F4'];5
35;15;18;['F6'];5
36;17;13;['F2', 'F4', 'F5'];5
37;1;19;['F2', 'F5', 'F6', 'F1', 'F4'];5
38;9;13;['F6', 'F1'];5
39;19;17;['F6', 'F5', 'F2', 'F4'];5
40;5;3;['F6', 'F3', 'F4', 'F2'];5
41;13;17;['F6', 'F2'];5
42;9;10;['F2', 'F1', 'F4'];5
43;17;13;['F4', 'F3', 'F2', 'F1'];5
44;8;20;['F5', 'F1', 'F3'];5
45;19;15;['F5', 'F4', 'F6'];5
46;10;1;['F3', 'F6', 'F1'];5
47;3;2;['F6', 'F2', 'F5'];5
