requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;7;16;['F1', 'F3', 'F4'];5
2;14;19;['F6', 'F3'];5
3;10;16;['F5', 'F2'];5
4;3;16;['F1', 'F2', 'F5'];5
5;15;16;['F6', 'F3', 'F1'];5
6;12;3;['F5'];5
7;8;9;['F6', 'F2', 'F1', 'F3'];5
8;2;4;['F4', 'F2', 'F1'];5
9;16;18;['F5', 'F4', 'F1'];5
10;9;16;['F5', 'F1', 'F6', 'F4', 'F3'];5
11;9;15;['F3', 'F5', 'F6', 'F4'];5
12;19;17;['F6'];5
13;3;18;['F6'];5
14;15;19;['F3'];5
15;10;16;['F4'];5
16;8;14;['F1', 'F3', 'F2'];5
17;6;14;['F6'];5
18;2;11;['F3', 'F2', 'F4'];5
19;15;14;['F4', 'F6', 'F3'];5
20;8;12;['F6'];5
21;14;18;['F5', 'F1', 'F4'];5
22;18;19;['F5', 'F6', 'F3', 'F1'];5
23;1;17;['F5', 'F6', 'F2', 'F4'];5
24;16;13;['F3'];5
25;3;2;['F1', 'F6', 'F3', 'F2', 'F5'];5
26;6;12;['F6', 'F3'];5
27;6;2;['F3', 'F2', 'F4', 'F5'];5
28;6;10;['F5', 'F1', 'F3', 'F2'];5
29;12;13;['F4', 'F1', 'F2'];5
30;7;18;['F1', 'F5', 'F6'];5
31;12;18;['F3', 'F2'];5
32;5;9;['F3', 'F5', 'F4', 'F6', 'F1'];5
33;15;14;['F4', 'F5', 'F6'];5
34;20;16;['F6', 'F1', 'F3', 'F2'];5
35;17;1;['F5', 'F1'];5
36;2;20;['F4', 'F5', 'F2', 'F3', 'F6'];5
37;11;20;['F1', 'F2'];5
38;18;11;['F3', 'F1'];5
39;6;19;['F5', 'F4', 'F6'];5
40;10;15;['F5', 'F3', 'F1'];5
41;14;18;['F2', 'F6'];5
42;15;2;['F2', 'F5'];5
43;19;5;['F1', 'F5', 'F2'];5
44;9;13;['F2', 'F6'];5
45;9;17;['F4', 'F6'];5
46;5;14;['F6', 'F3', 'F4', 'F5'];5
47;3;10;['F3'];5
48;4;19;['F6'];5
49;18;19;['F5', 'F3', 'F1', 'F2'];5
50;18;12;['F5', 'F2'];5
